,cer_pred,cer_processed,wer_pred,wer_processed,facc_pred,facc_processed,final_score_pred,final_score_processed
nationality,0.2766990291262136,0.05938511326860842,0.7941747572815534,0.1407766990291262,0.3796116504854369,0.8592233009708737,32.57635922330097,63.12322006472491
Dateofbirth,0.6799299041335944,0.22265745799402123,3.743809523809524,0.6933333333333334,0.002857142857142857,0.30666666666666664,-84.83045140658056,37.986322303542586
Fatherhusbandname,0.24874410108083422,0.11493377987517125,0.7962874821513565,0.3655402189433603,0.10095238095238095,0.44,33.43903744401618,53.249410041351396
permanentaddress,0.30575004730880484,0.26817333946094996,1.2871306761848107,0.7295260757485623,0.0,0.01807802093244529,14.249174677723461,35.08323217080694
experience,0.16589763611840705,0.1342017462909065,0.4166072701354241,0.3316108339272986,0.04580152671755725,0.15553435114503816,49.61919851012354,53.71988984503457
date,0.8247261345852895,0.24235785080855504,4.351637764932563,0.9248554913294798,0.0,0.07514450867052024,-111.17273648312484,29.158804701469354
presentaddress,0.3033248497319543,0.2653923214382412,1.2986677271823424,0.7265858023463909,0.0,0.01904761904761905,13.930259807999615,35.28362281039502
gender,0.46634429400386845,0.020309477756286266,1.3243243243243243,0.052123552123552123,0.04247104247104247,0.9478764478764479,7.332969014883911,67.60702542138714
bloodgroup,0.9666522304027718,0.11260285838025119,1.5823643410852712,0.23352713178294573,0.08333333333333333,0.7664728682170543,-19.20308000208151,58.00042127452066
experience1,0.1732129963898917,0.1355956678700361,0.4369104822922228,0.3388503292400783,0.04389312977099236,0.14980916030534353,48.652262215591634,53.416861475191794
qualification,0.35282583621683966,0.13229527104959632,1.171043293115685,0.4982256919801277,0.039047619047619046,0.45714285714285713,16.67043761621878,48.000337722531086
languageknown,0.17646144278606965,0.06996268656716417,1.4912170639899625,0.24153074027603513,0.0,0.5148042024832856,11.63125226283887,59.17495069086053
referencescmob2,0.18093218762786892,0.14581705910798645,0.6721467715034548,0.5844650941148439,0.07523809523809524,0.10285714285714286,40.15352214468938,44.4555532086295
pancard,0.5076335877862596,0.24885496183206107,2.7519083969465647,0.8091603053435115,0.0,0.19696969696969696,-44.08396946564884,32.99901110340042
maritalstatus,0.4383425571165035,0.04824748119767277,1.7152380952380952,0.1457142857142857,0.012380952380952381,0.8542857142857143,-5.373465689553812,63.3394810152243
contactnumber,0.3374642516682555,0.09656816015252621,2.370829361296473,0.4947569113441373,0.09628217349857007,0.5052430886558628,-24.77583412774071,49.37940896091515
AlternateNo,0.3427606177606178,0.1,2.3774131274131274,0.4942084942084942,0.08011583011583012,0.5057915057915058,-25.194063706563703,49.27857142857142
place,0.37236155947355354,0.14936677427365283,1.4434865900383143,0.5402298850574713,0.07183908045977011,0.5584291187739464,6.456090629153594,45.94788129122674
candidatename,0.2321319018404908,0.10375766871165644,0.7553750597228858,0.34782608695652173,0.12715105162523901,0.49904397705544934,35.4563290030256,54.26942514817208
referencescmob1,0.1814090165153995,0.14532807617914,0.6613403291199619,0.5747674695921774,0.057197330791229746,0.08293612964728313,40.512352502381034,44.80909631745099
aadhaarcard,0.3850467289719626,0.32494608195542773,1.862669245647969,0.9129593810444874,0.032818532818532815,0.0888030888030888,-8.665136331774828,26.686629258323432
All,0.29031998090591515,0.1630901420587515,1.1367936168462613,0.48303446573990294,0.06425663888350455,0.3996414033727467,20.06066257450635,47.44558493755301
